,Reviews
3310,"
This tripod is perfect. Its strong and easy to use.My wife uses it for blogging and loves it!
"
3311,"
Cumple con lo prometido. La calidad es aceptable para el precio incluso ligeramente superior a lo esperado.Tengo una Cámara Sony alpha y una Canon Rebel y el tripie las soporta perfectamente.Su peso es mínimo y eso es una ventaja para llevarlo de viaje.El adaptador para colocar el celular no es de lo mejor cumple su cometido, sin embargo la parte de plástico que está en contacto con la pantalla no tiene protección (material suave) por lo tanto hay que tener cuidado.
"
3312,"
the more you use it the more it looses stability. Nice for a GoPro/osmo action but not that good with a camera.
"
3313,"
Works as advertised.  Only small problem is that if you have a case that is on the ticket side (as in Otter Box) it might now be held as solidly in the phone holder as you would want.  Workaround is to take it out of the case or simply live with it. ;)
"
3314,"
Totally solid, flexible and strong. I use it for an Anker mini projector which is pretty heavy and have no issues
"
3315,"
This tripod is great quality. It has only a few parts which is great the cell phone holder can be adjusted for portrait or landscape super easily. It’s easy to maneuver the legs where you want to attach them. They bend easily without too much effort. This is the tripod you take every where.
"
3316,"
Ha sido muy útil, tenemos más de un año usándolo. Para los tiempos de pandemia y cuarentena ha sido muy útil para hacer videollamdas desde el celular. Para fotos en el exterior es muy práctico por su versatilidad y ligereza (lo llevamos a todos lados).Lo hemos probado con el celular (aunque no nos encanta la manera en que se sujeta porque hace presión sobre la pantalla del teléfono, le damos un 4/5).Para la Go Pro es perfecta! No o hemos probado con cámara pesada de lentes aún.
"
3317,"
Bought this because I needed a selfie stick but went with this for the flexibility so that I can not only hold up camera but place it on awkward surfaces for shooting. It holds my Canon Rebel t3i fairly well. The tripod is PERFECT for cell phones as its light and durable
"
3318,"
La calidad del trípode es bastante buena, me gustó la textura de los materiales y la resistencia que tiene al soportar mi sony a6300.Lo super recomiendo
"
3319,"
Es muy flexible, se adapta a cualquier superficie, además de ser ligero.Cuando grabo caminando se nota el movimiento, con este tripie los brincos desaparecen.Me gustó demasiado
"
3320,"
I purchased this as a tripod for taking timed photos on my Sony Nex-6 and streaming video to twitch.It also has a handy bracket for holding a smartphone. The legs are sturdy and hold their position really well.Very happy with this product.
"
3321,"
Buen producto, fácil de instalar aunque un poco débil en el soporte de celular podría ser un poco más fuerte aunque sirve prefecto.Esta más bajo de lo que pensé
"
3322,"
I had this on my recent trip and it was great to have something that could easily attach to any post, rocky uneven surface, even hold outside the car while driving.
"
3323,"
Excelente lo tengo por 5 meses ya y muy buenoNo se ve frágil ni parece que se romperá fácilSe enrolla fácilmente en cualquier superficie, árbol, poste etc
"
3324,"
It works pretty good but not as steady as something with solid legs so attention needs yo be paid when using it.
"
3325,"
En la descripción del producto incluye un adaptador para go pro y además un adaptador para tomas verticales, sin embargo no venían en la caja, no se como pueda proceder una aclaración.
"
3326,"
Used this product as advertised and it has held up to the test with my Samsung S9 so far in multiple circumstances and positions.  Have not tried this with my camera as it will primarily be for the smart phone.
"
3327,"
Was exactly what I was looking for. Seems well made ,and does what I was hoping it would. Basically just hold the camera securely, and place it almost anywhere you want for the angle you want. It’s perfect for me.
"
3328,"
Excelente calidad. Muy resistente, le agregaría el adaptador para gopro. Lo compré en oferta muy buen precio por la calidad.
"
3329,"
Es muy buena idea para cuando sales de acampada o excursiones, el no le pongo más puntos por la calidad del cabezal que es algo fragíl
"
3330,"
Nice and sturdy with tight legs that stay where you put them.Good purchase.
"
3331,"
A little flimsy in places, but overall, excellent. The bendy legs are superb.
"
3332,"
It’s a nice tripod, the legs are really soft and flexible. However the only down side is my phone can only be held horizontally, there’s no way for it to be standing vertically on the tripod unless you wrap it around a pole.
"
3333,"
You can stand it up, wrap it around things, hold the camera for walking around taking videos it’s great. It works with my Nikon and my iPhone
"
3334,"
El producto cumple lo que promete, se puede ubicar en cualquier sitio siempre y cuando se ajuste correctamente. Una vez que lo deformas se complica hacer totalmente rectas las patas pero pueden moldearse de ma forma que quieras.
"
3335,"
Worked great with my Nikon 5200. Stable while placed on the stairs to take a time delay photo. Downside cannot pivot the head while attempted to use a selfie stick with phone.
"
3336,"
I received this a few days ago and I know I will get good use out of it.  It seems to be well made and is sturdy.
"
3337,"
Me gustó, muy útil para varias posiciones y aguanta perfecto una réflex
"
3338,"
Great product. Can hang it on virtually anything or use it as a tripod
"
3339,"
I loved it...until the part that holds your phone cracked...and broke. Tried fixing with gorilla glue but broke again! Will not buy again
"
3340,"
It fits well with my Canon T6 and steady. The phone attachment has a soft lining which protects the screen. AND most importantly great price!
"
3341,"
I bought this tripod for my phone and the attachment holds my phone perfectly and it's super secure, the tripod itself is strong and flexible and can hold up my phone up on any surface.
"
3342,"
Excelente producto, me encantó y muy resistente.
"
3343,"
No aguanta mucho el peso de la cámara
"
3344,"
The tripod is super flexible and very sturdy for sure to be put in various position.
"
3345,"
Es un gran producto el mejor que he hecho hasta ahora, espero en un futuro comprar la version 2 de este tripie
"
3346,"
Love it, I 've had it for a while. love using it whenever I'm vlogging
"
3347,"
Esta increíble, no pesa y lo puedes llevar a cualquier lado! Súper fácil de utilizar. Yo lo utilizo con mi cámara Eos sin problema de peso.
"
3348,"
Super fast shipping, and just what I needed getting low and stabilized camera for some macro shots.
"
3349,"
Tres vite mais ya pas de manette
"
3350,"
Great product
"
3351,"
This tripod is very flexible.  The tripod is steady even when the legs are set to unusual positions. The adjustable smartphone mount is great for different sizes of phone.
"
